 In comparison, there are 79 templates in CITATION,,
 Part-of-speech tags were used in the topranked systems in CoNLL 2003, as well as in many follow up studies that used the data set (CITATION; CITATION),,
 For each query class, we train a logistic regression classifier CITATION with L2 regularization,,
66 CITATION 89,,
92 CITATION 89,,
76 CITATION 88,,
31 CITATION 86,,
 2004), CITATION, CITATION, and (Koo et,,
 CITATION defined an objective function that combines the original problem on the labeled data with a set of auxiliary problems on unlabeled data,,
 To reduce the memory requirement for storing a large number of phrases, we used Bloom Filter CITATION to decide whether a sequence of tokens is a phrase,,
 NER systems often have global features to capture discourse-level regularities CITATION,,
 In comparison, there are 79 templates in CITATION,,
 For each query class, we train a logistic regression classifier CITATION with L2 regularization,,
66 CITATION 89,,
92 CITATION 89,,
76 CITATION 88,,
31 CITATION 86,,
 The algorithm fits nicely into the MapReduce paradigm for parallel programming CITATION,,
 For each query class, we train a logistic regression classifier CITATION with L2 regularization,,
66 CITATION 89,,
92 CITATION 89,,
76 CITATION 88,,
31 CITATION 86,,
 2004) and dependency parsing CITATION,,
 In their dependency parser with cluster-based features, CITATION found it helpful to restrict lexicalized features to only relatively frequent words,,
 2 Distributed K-Means clustering K-Means clustering CITATION is one of the simplest and most well-known clustering algorithms,,
 In the literature, contexts have been defined as subject and object relations involving the word (Hindle, 1990), as the documents containing the word (Deerwester et al, 1990), or as search engine snippets for the word as a query CITATION,,
 The best two systems in the competition CITATION and CITATION resorted to knowledge engineering techniques to bridge the gap between 0 0,,
 NER systems often have global features to capture discourse-level regularities CITATION,,
 In comparison, there are 79 templates in CITATION,,
 Part-of-speech tags were used in the topranked systems in CoNLL 2003, as well as in many follow up studies that used the data set (CITATION; CITATION),,
 For each query class, we train a logistic regression classifier CITATION with L2 regularization,,
66 CITATION 89,,
92 CITATION 89,,
76 CITATION 88,,
31 CITATION 86,,
 2004), CITATION, CITATION, and (Koo et,,
 CITATION defined an objective function tha,,
 Although the method in CITATION is quite general, it is hard to see how it can be applied to the query classification problem,,
 2004), CITATION, CITATION, and (Koo et,,
 CITATION define,,
 CITATION proposed a 1030 \x0cdistributed clustering algorithm with a similar objective function as the Brown algorithm,,
 For each query class, we train a logistic regression classifier CITATION with L2 regularization,,
66 CITATION 89,,
92 CITATION 89,,
76 CITATION 88,,
31 CITATION 86,,
 The best two systems in the competition CITATION and CITATION resorted to knowledge engineering techniques to bridge the gap between 0 0,,
